trial_number,state,MAE,RMSE,DA,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
40,TrialState.COMPLETE,0.016170149048532558,0.021477503333509017,0.49963099630996305,400,0.00547573379464876,2,9,0.9231458907607987,0.8730443894838281,0.43308349145511127,0.10792795034236943,4.758213102050678
38,TrialState.COMPLETE,0.016170558474875175,0.021479238661501376,0.5003690036900369,400,0.0056436441319903646,2,9,0.9023380513108173,0.9198204213380088,0.34665467867221067,0.09875011306794153,6.303088970002593
70,TrialState.COMPLETE,0.016173265793299457,0.021477176407659587,0.5,350,0.0077319050074254,2,3,0.6457198082085268,0.8301305836190016,0.40758253789183096,0.33520623482597695,1.71199753007885
87,TrialState.COMPLETE,0.016176869707660135,0.021457630488584904,0.4970479704797047,350,0.007379710460975564,2,2,0.7893775691542136,0.6200046664986073,0.3280368084413713,0.9094366009402445,0.5866548631329886
85,TrialState.COMPLETE,0.016177744377428232,0.021466599402530213,0.49926199261992626,300,0.008593578080352798,2,2,0.7696463744064994,0.6723930504869954,0.4825678545128685,0.9878570391288255,0.6311328925100054
32,TrialState.COMPLETE,0.01618018940127297,0.021499016613873573,0.5011070110701107,400,0.006292242947884266,2,10,0.8741030937924412,0.9694729235855956,0.26708174277938385,0.1712901620321428,5.9755081141607524
30,TrialState.COMPLETE,0.016187344334520525,0.021506981018212534,0.49926199261992626,400,0.00647793341526447,2,10,0.8754006721464517,0.9562104620141904,0.2618706723832362,0.17069084154770334,5.60935915862431
57,TrialState.COMPLETE,0.016187927317622388,0.021461432710586703,0.4970479704797047,350,0.008177269769196242,2,2,0.9985535981531067,0.81740217535577,0.4965583392405753,0.3245422424991288,1.8498332903527137
43,TrialState.COMPLETE,0.016188379032969713,0.0214851485347582,0.49926199261992626,450,0.0053732198701199755,2,9,0.9359236481046,0.8653138444115958,0.4580736622323489,0.06328291260429995,4.637941776030723
68,TrialState.COMPLETE,0.016189709044090228,0.021503842272316463,0.49741697416974173,300,0.005583554822915873,3,4,0.682275789600415,0.8066251885287159,0.4132149511945042,0.36178430494002356,3.240188192912721
31,TrialState.COMPLETE,0.01619061803584364,0.02151126449818505,0.49926199261992615,400,0.0067088430432483016,2,10,0.8617036421975167,0.9627992061391424,0.2787600610872776,0.18029918289378566,6.1846336204347185
69,TrialState.COMPLETE,0.01619808506809841,0.021474337600181442,0.4977859778597786,450,0.006071317290244402,2,5,0.9903793928420358,0.6981058915942284,0.49906942257991604,0.5335625906368575,2.6802235385448796
73,TrialState.COMPLETE,0.01619830700702915,0.021498212432393315,0.49741697416974173,300,0.009983617344869815,2,1,0.717066474001657,0.8566247749695719,0.4624067796511042,0.6875083629093747,2.2459299987955457
62,TrialState.COMPLETE,0.01621189491480137,0.02149346814609619,0.4981549815498155,350,0.008264885252964475,2,3,0.948735069643787,0.789885597699881,0.47708862359002263,0.4907989026345913,2.1495727312051836
33,TrialState.COMPLETE,0.016213668667822416,0.021533029898618182,0.4977859778597786,500,0.006054207050735199,2,10,0.8747048270899791,0.9619202943555437,0.2723685089736558,0.1987272216722074,5.7093684829297615
45,TrialState.COMPLETE,0.01621778154848242,0.02149394218171099,0.49704797047970484,550,0.005728112909682733,2,6,0.9790812964010089,0.9165269057224482,0.41439380643037144,0.12813624983276511,3.8234777409459313
24,TrialState.COMPLETE,0.016219359469477567,0.021536190141175682,0.49741697416974173,300,0.00920975913278177,2,8,0.9591584754036891,0.9839776266299315,0.2193513398830168,0.16448804475298406,9.716922923822693
36,TrialState.COMPLETE,0.01622772462773381,0.021531878453146643,0.4948339483394834,500,0.006002658590072543,2,9,0.7868937290698379,0.8768651142007053,0.31068329394807853,0.20824260757563703,5.134631072429461
35,TrialState.COMPLETE,0.016236539397896536,0.021549052585568804,0.4948339483394834,550,0.005905005659809364,2,10,0.8327803440630448,0.9596045666365352,0.3825993918181084,0.11905778576360154,6.387807984304893
55,TrialState.COMPLETE,0.01625349653564358,0.021587350750855477,0.49963099630996305,300,0.007437056809926015,3,1,0.9720298227396226,0.7760640764408404,0.45653639386937034,0.4020270540166897,1.687701962760594
34,TrialState.COMPLETE,0.016270889177526872,0.021584310140716913,0.49188191881918825,650,0.006094701682001493,2,10,0.8773394984414487,0.926308660518114,0.2618657394192779,0.23265021630938093,5.7131830550127605
27,TrialState.COMPLETE,0.016279537167184104,0.021586110863541553,0.49225092250922514,400,0.009262785240290734,2,9,0.9493238401981294,0.9693771777802425,0.19892440918529486,0.011301683302212595,7.779022338667576
44,TrialState.COMPLETE,0.01628287383733897,0.021575542604581686,0.48892988929889303,800,0.005042736115750048,2,8,0.9175950656324465,0.8711117013317915,0.4271294841488108,0.10910758457857758,4.764680786106885
18,TrialState.COMPLETE,0.016308084600274664,0.0216292956258989,0.4970479704797047,350,0.007460996435741215,3,7,0.8483459781870325,0.8005828061689466,0.05536170648876809,0.7861304746339816,4.166460540402321
37,TrialState.COMPLETE,0.016334477622366096,0.021643886020469703,0.4878228782287823,700,0.0068322322664799776,2,10,0.8701160613665135,0.933253080648612,0.42601319376309177,0.2933535872365204,5.788348314056088
20,TrialState.COMPLETE,0.01634167930511759,0.02167017490373901,0.49594095940959415,350,0.00899106627431834,3,8,0.9618920724885066,0.8992230772248279,0.06938496971529928,0.34978829279646667,9.941506457972233
25,TrialState.COMPLETE,0.016363290935598112,0.02168826782448831,0.492619926199262,300,0.016254330152688727,2,9,0.8997813994946772,0.9991095210256932,0.23903108972516474,0.17467332761565318,9.945958659526957
21,TrialState.COMPLETE,0.01636911106620854,0.021695436840362757,0.5,350,0.009257208963417847,3,8,0.9893716564113967,0.9099051219546377,0.06892964352280118,0.32444768152263515,7.235687332074491
12,TrialState.COMPLETE,0.016372255963688003,0.021681728036275646,0.48708487084870844,450,0.007455438277985654,3,4,0.8384389352084881,0.8320432333098128,0.10507780511615646,0.5804045210253558,0.5340144555399421
22,TrialState.COMPLETE,0.016376382139292288,0.021699265506140947,0.49188191881918825,350,0.0094028322198674,3,8,0.995265989924464,0.9404052868155783,0.06615554433268594,0.24943353475275512,9.718608146567144
26,TrialState.COMPLETE,0.01644992981382457,0.02171930115504349,0.49077490774907756,1050,0.006502985871379591,2,7,0.9551110870796388,0.9491838302461911,0.3495088102787216,0.17737014590984004,4.313547956300001
4,TrialState.COMPLETE,0.016456093078026042,0.02176173848126502,0.49594095940959415,550,0.006555094372947843,4,5,0.6488152939379115,0.798070764044508,0.017194260557609198,0.9093204020787821,2.9584098252001607
19,TrialState.COMPLETE,0.0164647320550494,0.021765555817251002,0.49409594095940956,400,0.016427484779165925,2,7,0.8509733012907512,0.843053890145895,0.1567612817684736,0.6937005365949581,6.909450869669852
16,TrialState.COMPLETE,0.016504234292727016,0.021816810789891575,0.48597785977859775,450,0.007449421784639955,5,1,0.6029698063626717,0.9003988944050103,0.28849433150132764,0.027219026391197,1.401865812780652
23,TrialState.COMPLETE,0.01650641691946258,0.021836880432906186,0.49409594095940956,350,0.013223678169892394,3,10,0.9520104938890753,0.8943113465915769,0.05276797139942844,0.37397925877335303,7.212139943164153
13,TrialState.COMPLETE,0.01659928943811085,0.02192943608011153,0.49225092250922503,450,0.008037482486249232,5,4,0.8686538577596853,0.7799884132477414,0.12077746649016993,0.43194438629820214,3.4453536575032153
15,TrialState.COMPLETE,0.01661159807279754,0.021936401989142616,0.4929889298892989,300,0.018883575495451447,3,5,0.7585611428076711,0.808327635559971,0.14286083311276435,0.45132389466774325,4.1959042505694315
10,TrialState.COMPLETE,0.016616667459932125,0.02191513862364723,0.4929889298892989,1150,0.005083833658996854,3,4,0.8144754354791038,0.8429521169792498,0.007563407956692322,0.6135622195040731,0.9502281372740011
11,TrialState.COMPLETE,0.016636686918962435,0.021936652669448546,0.4904059040590406,1200,0.005118094490415271,3,4,0.8142497056141959,0.8556707938696546,0.005510890509713705,0.5889828436409109,0.545564884972982
9,TrialState.COMPLETE,0.01668272672812096,0.021989257506576404,0.49741697416974173,850,0.012514425818316965,2,4,0.7300733288106989,0.8918424713352255,0.31877873567760656,0.8872127425763265,4.986041789038518
1,TrialState.COMPLETE,0.016701865602925817,0.022032756043263043,0.48745387453874534,950,0.005293661964364217,5,9,0.6849356442713105,0.6727299868828402,0.09170225492671691,0.3042422429595377,5.48518610050626
7,TrialState.COMPLETE,0.016764937201000744,0.022118456303599432,0.48929889298892987,600,0.010895542554925704,4,2,0.9208787923016158,0.6298202574719083,0.49344346830025865,0.7722447692966574,2.387798974574638
2,TrialState.COMPLETE,0.01695172508489929,0.02228942096793147,0.4797047970479705,700,0.011211012365328633,4,2,0.7168578594140873,0.7465447373174767,0.22803499210851796,0.7851759613930136,2.3969009305044175
14,TrialState.COMPLETE,0.017027285343744793,0.022316586117602944,0.5014760147601476,500,0.019807418430183,3,10,0.9985828134225048,0.9424507798932655,0.09592177422921985,0.6891558229848623,2.072938647303528
5,TrialState.COMPLETE,0.017176092505869454,0.02257660307791121,0.4878228782287823,900,0.0118660873193719,4,6,0.6739417822102108,0.9878338511058234,0.3875664116805573,0.9394989415641891,9.000859829062664
3,TrialState.COMPLETE,0.01719097796566279,0.022536660670695905,0.49225092250922503,750,0.02584093506411774,2,7,0.6682096494749166,0.6260206371941118,0.4744427686266666,0.9656320330745594,8.17977480710638
17,TrialState.COMPLETE,0.017369839678260536,0.022788594840984007,0.48966789667896676,550,0.029425507361678156,3,5,0.7760910607725429,0.7309962350571283,0.06400919831088779,0.5736894675055919,3.1292144224104845
8,TrialState.COMPLETE,0.017413814905601392,0.022894534016888207,0.4881918819188192,300,0.047960467239636484,4,8,0.9085081386743783,0.6296178606936361,0.1792328642721363,0.11586905952512971,8.699482545818139
79,TrialState.PRUNED,0.01769208473098123,,,450,0.0053170408067245494,3,1,0.7609877960788065,0.6494998562405996,0.4247691171587277,0.8194202187790499,1.1724205738396791
93,TrialState.PRUNED,0.017744044984025903,,,300,0.005064833914478468,5,2,0.7615557056340919,0.6387505624638733,0.4323765123620241,0.8631044621003066,2.5023662725039855
58,TrialState.PRUNED,0.017781306323582755,,,350,0.005006283798887625,4,3,0.945252781200415,0.7902126103933124,0.451406790214065,0.4378701354656451,1.1628823917406397
90,TrialState.PRUNED,0.017784405324421826,,,900,0.0055809129401600075,2,2,0.7746997223133181,0.6656715722755736,0.46555638771962743,0.9670058693739437,1.0485134363033617
80,TrialState.PRUNED,0.01787324415065493,,,1100,0.005907561164986067,2,1,0.8006123848024802,0.6044273578359333,0.4671884716083388,0.9141545387342535,3.1041607779365306
56,TrialState.PRUNED,0.017888842654952525,,,300,0.007118273919445924,5,3,0.9842704722675735,0.7445120213148666,0.3975703215612931,0.49420700172374443,2.8893432774812977
39,TrialState.PRUNED,0.01791975157787684,,,600,0.010971558922855527,2,9,0.8969312545364932,0.9264831291809076,0.3480747007516015,0.08750627585181758,6.744815020811439
53,TrialState.PRUNED,0.017987815078872055,,,300,0.023578758689873983,2,3,0.9757338446331938,0.8223248544896975,0.49084148127325555,0.5038512411763028,2.5221367514867303
59,TrialState.PRUNED,0.018088683479776935,,,950,0.005667644412543932,3,1,0.974414048160138,0.7629757615126644,0.4717837831215008,0.393557481948878,2.4839790506290758
48,TrialState.PRUNED,0.018184673446442347,,,600,0.008003312766999355,4,8,0.908727298252826,0.7710414418138014,0.38177990806564926,0.1282322765982536,3.9463263732133687
29,TrialState.PRUNED,0.018191199165741877,,,650,0.014752236778637493,2,7,0.9342347281535391,0.6916330516802125,0.2773922714091569,0.072848449611978,6.2022910651381675
0,TrialState.COMPLETE,0.018219420867535287,0.02389530697973758,0.5029520295202952,650,0.06978211022792681,4,6,0.6624074561769746,0.662397808134481,0.02904180608409973,0.8661761457749352,6.210592611560483
6,TrialState.COMPLETE,0.01840896138845363,0.0239525637187525,0.4845018450184503,850,0.06441947664628758,2,2,0.6180909155642152,0.7301321323053057,0.194338644844741,0.2713490317738959,8.373006336943329
60,TrialState.PRUNED,0.01840924102249042,,,300,0.03618507118460608,2,2,0.9648458440238157,0.8407082756248176,0.40136825296179846,0.27584862335061067,3.3656157827987707
28,TrialState.PRUNED,0.018625374627338084,,,500,0.02777204664817687,2,9,0.8852098043303753,0.9768071089797998,0.20680514341595588,0.005821537497202398,7.802525447958157
46,TrialState.PRUNED,0.019517747989104762,,,450,0.049484469775305046,2,9,0.924788701846627,0.8824762578135826,0.4768759494090838,0.04809566559918703,5.34698184234999
65,TrialState.PRUNED,0.01984881395757941,,,300,0.07970940082487427,2,4,0.7401003771852195,0.8123430184851648,0.3684244408159437,0.5452219014486025,1.3724232357545156
